tweet_id,created_at,tweets,likes,date,time,Hashtags,#snydercut,#zacksnydersjusticeleague,#borglife
1347331770233085962,2021-01-07 23:58:20,"The fact is: the Justice League investigation led to @WarnerMedia (and it’s affiliates) parting ways with Joss Whedon.

Geoff Johns will be following suit.

Had Walter Hamada gotten his way, NONE of that would have been possible, and the cycle of abuse would’ve continued.

4/5",3535,2021-01-07,23:58:20,,0,0,0
1347331768773390349,2021-01-07 23:58:20,"The @wbpictures pr team has struggled to regain control of the narrative ever since they failed to bury me and the JL investigation with their September 4th hit piece—which, unsurprisingly, was written by the same reporter.

(More on WB pr and Johanna Fuentes later...)

3/5",2993,2021-01-07,23:58:20,,0,0,0
1347331767313772544,2021-01-07 23:58:20,"If @wbpictures has made the decision to remove me from The Flash, rather than address, in any way, Walter Hamada tampering with the JL investigation—that’s on them.

The idea of removing the role, rather than recasting it, is only being used to try to avoid public backlash.

2/5",3247,2021-01-07,23:58:20,,0,0,0
1347331765841633286,2021-01-07 23:58:19,"I strongly suggest that @TheWrap amend this article immediately.

While I appreciate the reporter’s undying desire to do @wbpictures and Walter Hamada’s bidding—it is factually inaccurate. 

I did not publicly step down from anything.

1/5

https://t.co/905q9eX2QX",6366,2021-01-07,23:58:19,,0,0,0
1347234038466146306,2021-01-07 17:29:59,"RT @thehill: Cori Bush introduces legislation to sanction, remove House members from office who supported 2020 election challenges https://…",0,2021-01-07,17:29:59,,0,0,0
1346968379303862273,2021-01-06 23:54:21,"We can worry about DC Films tomorrow.

EVERYONE’s focus should be on the U.S. Capitol right now!!!

A&gt;E",5672,2021-01-06,23:54:21,,0,0,0
1346856598321459200,2021-01-06 16:30:11,"RT @BernieSanders: With Democrats in control of the Senate, we must keep faith with the working families of this country. Promises made mus…",0,2021-01-06,16:30:11,,0,0,0
1346853377133707264,2021-01-06 16:17:23,"Come on, Georgia!!!!! 💪🏽💪🏽💪🏽",1396,2021-01-06,16:17:23,,0,0,0
1346843858215329793,2021-01-06 15:39:33,"RT @AOC: Hello! ☀️
It’s a new day!

Who’s ready to PUSH? 🙋🏽‍♀️🙋🏾🙋🏼‍♂️

Ready to PUSH for retroactive COVID relief? 💸
And to PUSH for studen…",0,2021-01-06,15:39:33,,0,0,0
1346659732996698112,2021-01-06 03:27:54,"It’s weird how these reactionary announcements from @wbpictures always forget to mention that Walter Hamada was working directly with Geoff Johns and Toby Emmerich (on Shazam) DURING Justice League reshoots...

More soon.

A&gt;E

#WalterKnew https://t.co/KWXEpXhw9y",3742,2021-01-06,03:27:54,#walterknew,0,0,0
